year,birth.day,birth.mass,v
1986,136,5.8,1.0755542369826
1986,137,5.9,1.22531989626951
1986,136,6.2,1.47726392227951
1986,142,5.7,0.508992390104023
1986,136,6.3,1.57865439366597
1986,133,5,0.878130620527796
1986,139,5.6,1.57865439366597
1986,135,5.6,1.3900802395358
1986,147,5,1.0755542369826
1986,142,5.8,1.22531989626951
1986,134,6.1,0.397186398930446
1986,145,6,1.22531989626951
1986,142,6.5,1.55897434079831
1986,147,5.5,0.508992390104023
1986,143,5.1,0.508992390104023
1986,137,5.1,1.57865439366597
1986,140,4.8,1.36826960369436
1986,154,5.6,1.3900802395358
1986,147,5.6,0.508992390104023
1986,130,5.3,0.544025718826197
1986,136,5.6,0.544025718826197
1986,141,6.4,1.57865439366597
1986,133,5.6,1.3900802395358
1986,139,4.6,0.508992390104023
1986,133,5.2,0.397186398930446
1986,133,6,1.3900802395358
1986,136,5.1,1.55897434079831
1986,141,5.6,1.57865439366597
1986,138,5.6,0.508992390104023
1986,151,6.1,1.47726392227951
1986,141,4,0.508992390104023
1986,139,5.6,1.57865439366597
1986,135,5.1,1.3900802395358
1986,139,5.6,0.508992390104023
1986,147,5.5,0.700869029539366
1986,149,5.6,1.55897434079831
1986,142,5.3,0.878130620527796
1986,142,4.2,1.22531989626951
1986,137,5.2,1.57865439366597
1986,141,6.2,1.57865439366597
1986,138,5.9,1.3900802395358
1986,139,4.6,1.47726392227951
1986,147,4.6,1.22531989626951
1986,141,4.4,0.508992390104023
1986,151,5.1,1.22531989626951
1986,137,5.1,0.508992390104023
1986,136,5.3,1.3900802395358
1986,140,4.4,1.47726392227951
1986,155,3.8,0.508992390104023
1986,135,4.6,0.508992390104023
1986,134,5.2,0.700869029539366
1986,144,5.6,0.878130620527796
1986,136,6.3,1.57865439366597
1986,135,5.1,0.508992390104023
1986,136,5,1.36826960369436
1986,131,4.5,1.3900802395358
1986,140,5.4,0.508992390104023
1986,144,5.1,1.47726392227951
1986,140,6.1,1.57865439366597
1986,144,3.8,0.878130620527796
1986,155,4.8,1.22531989626951
1986,141,4.7,1.57865439366597
1986,149,3.9,0.508992390104023
1986,137,4.9,1.22531989626951
1986,141,5.6,1.57865439366597
1986,160,3.7,0.508992390104023
1986,141,4.5,0.508992390104023
1986,136,4.9,0.878130620527796
1986,131,5.4,1.3900802395358
1986,142,5.5,1.22531989626951
1986,138,4.1,1.55897434079831
1986,138,5.5,1.57865439366597
1986,136,5.6,1.3900802395358
1986,144,4.6,0.878130620527796
1986,147,3.6,1.22531989626951
1986,135,6.3,1.0755542369826
1986,141,6,1.55897434079831
1986,141,5.5,0.508992390104023
1986,136,6.1,1.3900802395358
1986,147,6,0.508992390104023
1986,139,4.3,0.544025718826197
1986,143,6,1.55897434079831
1986,142,5.5,1.3900802395358
1986,149,4.5,0.508992390104023
1986,140,5.5,0.700869029539366
1986,148,3.8,1.0755542369826
1986,150,5.6,1.57865439366597
1986,139,5.7,1.57865439366597
1986,135,4.6,0.508992390104023
1986,143,4.2,1.57865439366597
1986,128,6.3,1.0755542369826
1986,133,6.5,1.3900802395358
1986,145,5.1,1.47726392227951
1986,138,5,0.544025718826197
1986,139,5.4,1.57865439366597
1986,138,4.7,0.508992390104023
1986,137,4.3,0.544025718826197
1986,145,5.8,1.55897434079831
1986,140,5.3,1.0755542369826
1986,139,3.5,0.508992390104023
1986,144,4.9,1.36826960369436
1986,149,4.4,1.55897434079831
1986,145,4.9,1.57865439366597
1986,144,4.8,0.508992390104023
1986,147,6.5,1.57865439366597
1986,147,5.1,0.878130620527796
1986,163,6.1,1.47726392227951
1986,152,5.7,0.508992390104023
1986,142,5.8,1.57865439366597
1986,147,3.3,0.508992390104023
1986,145,5.6,1.57865439366597
1986,151,4.6,0.508992390104023
1986,144,5.1,1.0755542369826
1986,151,7.8,0.508992390104023
1986,139,6.5,0.508992390104023
1986,155,4.8,1.22531989626951
1986,141,4.7,1.57865439366597
1986,149,3.9,0.508992390104023
1986,133,5.8,0.878130620527796
